iter	Passed	Remaining
604	7988	5215
605	8000	5201
606	8010	5186
607	8021	5171
608	8033	5157
609	8044	5143
610	8054	5128
611	8064	5112
612	8074	5097
613	8085	5082
614	8095	5067
615	8106	5053
616	8118	5039
617	8129	5025
618	8141	5011
619	8152	4996
620	8164	4982
621	8174	4967
622	8184	4952
623	8193	4937
624	8202	4921
625	8212	4906
626	8223	4891
627	8232	4876
628	8245	4863
629	8254	4848
630	8264	4833
631	8274	4817
632	8283	4802
633	8293	4787
634	8302	4772
635	8313	4757
636	8323	4743
637	8332	4728
638	8342	4713
639	8354	4699
640	8364	4684
641	8375	4670
642	8385	4655
643	8394	4640
644	8404	4625
645	8414	4611
646	8426	4597
647	8435	4582
648	8448	4569
649	8459	4555
650	8471	4541
651	8482	4527
652	8492	4512
653	8501	4497
654	8511	4482
655	8521	4468
656	8531	4453
657	8540	4439
658	8551	4425
659	8561	4410
660	8571	4396
661	8581	4381
662	8591	4366
663	8601	4352
664	8611	4338
665	8621	4323
666	8631	4309
667	8642	4295
668	8654	4282
669	8664	4267
670	8674	4253
671	8684	4239
672	8694	4224
673	8704	4210
674	8715	4196
675	8725	4182
676	8734	4167
677	8744	4153
678	8756	4139
679	8767	4125
680	8777	4111
681	8788	4097
682	8799	4084
683	8811	4070
684	8823	4057
685	8832	4042
686	8844	4029
687	8854	4015
688	8864	4001
689	8874	3986
690	8883	3972
691	8893	3958
692	8903	3944
693	8913	3930
694	8923	3916
695	8933	3901
696	8943	3888
697	8953	3873
698	8965	3860
699	8975	3846
700	8984	3832
701	8994	3818
702	9004	3804
703	9015	3790
704	9024	3776
705	9034	3762
706	9044	3748
707	9054	3734
708	9065	3720
709	9075	3706
710	9085	3692
711	9094	3678
712	9106	3665
713	9117	3652
714	9127	3638
715	9136	3624
716	9147	3610
717	9157	3596
718	9169	3583
719	9179	3569
720	9189	3556
721	9200	3542
722	9210	3528
723	9220	3514
724	9229	3500
725	9240	3487
726	9250	3473
727	9260	3460
728	9270	3446
729	9281	3432
730	9291	3419
731	9301	3405
732	9312	3391
733	9321	3378
734	9331	3364
735	9341	3350
736	9351	3337
737	9362	3323
738	9373	3310
739	9385	3297
740	9395	3284
741	9405	3270
742	9415	3256
743	9425	3243
744	9434	3229
745	9444	3215
746	9454	3202
747	9464	3188
748	9474	3175
749	9487	3162
750	9500	3149
751	9512	3137
752	9524	3124
753	9535	3110
754	9544	3097
755	9555	3083
756	9564	3070
757	9574	3056
758	9585	3043
759	9600	3031
760	9613	3019
761	9624	3005
762	9635	2992
763	9645	2979
764	9656	2966
765	9667	2953
766	9679	2940
767	9690	2927
768	9700	2914
769	9711	2900
770	9721	2887
771	9730	2873
772	9742	2860
773	9753	2847
774	9764	2834
775	9775	2821
776	9786	2808
777	9795	2795
778	9806	2781
779	9819	2769
780	9832	2757
781	9844	2744
782	9860	2732
783	9878	2721
784	9895	2710
785	9911	2698
786	9929	2687
